# Log Gross Income (lower edge), Log Gross Income (upper edge), Log Net Wealth (lower edge), Log Net Wealth (upper edge), Probability
8.8, 9.0, 16.5, 17.0, 0.0
8.8, 9.0, 17.0, 17.5, 0.0
9.0, 9.2, 0.0, 0.5, 0.0
9.0, 9.2, 0.5, 1.0, 0.0
9.0, 9.2, 1.0, 1.5, 0.0
9.0, 9.2, 1.5, 2.0, 0.0
9.0, 9.2, 2.0, 2.5, 0.0
9.0, 9.2, 2.5, 3.0, 0.007448019359810108
9.0, 9.2, 3.0, 3.5, 0.010903777497586694
9.0, 9.2, 3.5, 4.0, 0.011555241689147165
9.0, 9.2, 4.0, 4.5, 0.008588772809550884
9.0, 9.2, 4.5, 5.0, 0.033034570583326525
9.0, 9.2, 5.0, 5.5, 0.02171757382720283
9.0, 9.2, 5.5, 6.0, 0.12336692393875369
9.0, 9.2, 6.0, 6.5, 0.10861888754636913
9.0, 9.2, 6.5, 7.0, 0.09789892780319596
9.0, 9.2, 7.0, 7.5, 0.028804596148634447
9.0, 9.2, 7.5, 8.0, 0.07617821887246298
9.0, 9.2, 8.0, 8.5, 0.06942001470299099
9.0, 9.2, 8.5, 9.0, 0.10427990478921725
9.0, 9.2, 9.0, 9.5, 0.08961193441872152
9.0, 9.2, 9.5, 10.0, 0.06611266008418727
9.0, 9.2, 10.0, 10.5, 0.04758833674028076
9.0, 9.2, 10.5, 11.0, 0.04331095174644926
9.0, 9.2, 11.0, 11.5, 0.02810870895192404
9.0, 9.2, 11.5, 12.0, 0.010307900094434561
9.0, 9.2, 12.0, 12.5, 0.0046757899998882396
9.0, 9.2, 12.5, 13.0, 0.0057998684297504415
9.0, 9.2, 13.0, 13.5, 4.610913900207665e-05
9.0, 9.2, 13.5, 14.0, 0.0026152471567030323
9.0, 9.2, 14.0, 14.5, 7.0636704099959595e-06
9.0, 9.2, 14.5, 15.0, 0.0
9.0, 9.2, 15.0, 15.5, 0.0
9.0, 9.2, 15.5, 16.0, 0.0
9.0, 9.2, 16.0, 16.5, 0.0
9.0, 9.2, 16.5, 17.0, 0.0
9.0, 9.2, 17.0, 17.5, 0.0
9.2, 9.4, 0.0, 0.5, 0.0084461122270414
9.2, 9.4, 0.5, 1.0, 0.0012243108298986673
9.2, 9.4, 1.0, 1.5, 0.0
9.2, 9.4, 1.5, 2.0, 0.0
9.2, 9.4, 2.0, 2.5, 0.0007009770452046238
9.2, 9.4, 2.5, 3.0, 0.00641265678809553
9.2, 9.4, 3.0, 3.5, 0.00040750022088340275
